State,Year,1Ai: Poverty rate,1Aii: Income of bottom 20%,1Bi: Unemployment rate,1Bii: Labor participation rate,1Biii: Perceived job availability,1Ci: Access to basic needs,1Ciia: Mobile phone subscriptions,1Ciib: Broadband internet subscriptions,1Ciii: Literacy Rate,1Di: Business startup costs,1Dii: Time to start a business,1Diii: Perceived climate for new businesses,2Ai: Life expectancy at birth,2Aii: Life expectancy at age 60,2Aiii: Infant mortality rate,2Aiv: Undernourishment,2Bi: Suicide rate,2Bii: Positive experience,2Biii: Suffering,2Ci: Air quality,2Cii: Water quality,2Ciii: Sanitation,3Ai: Political Rights,3Aii: Expression of political views without fear,3B: Civil liberties,3C: Religious freedom,3D: Economic freedom,3E: Perceived Freedom,4Ai: Civic engagement,4Aiia: Importance of Religion,4Aiib: Religious attendance,4Bia: Marriage Rate,4Bib: Self-Reported Marriage,4Biia: Divorce Rate,4Biib: Self-Reported Divorce,4Biii: Children Living with Biological Parents,4Biv: Time spent with friends and family,5Ai: GDP per capita,5Aiia: Perceived personal living standard,5Aiib: Perceived national living standard,5Bi: GDP per capita growth,5Biia: Perceived improvement in personal living standard,5Biib: Perceived improvement in national living standard,6A: Violence and ethnic warfare,6B: Human rights violations,6C: Law and Order,6D: Trust in national institutions,6E: Corruption in business and government,6F: Bureaucracy quality
Afghanistan,1959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1960.0,,,,,,,0.0,,,,,,31.5800487804878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1961.0,,,,,,,,,,,,,32.0959756097561,,237.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1962.0,,,,,,,,,,,,,32.6118780487805,,233.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1963.0,,,,,,,,,,,,,33.1273170731707,,230.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1964.0,,,,,,,,,,,,,33.641243902439,,226.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1965.0,,,,,,,0.0,,,,,,34.1536829268293,,222.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1966.0,,,,,,,,,,,,,34.6631219512195,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1967.0,,,,,,,,,,,,,35.1700731707317,,215.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1968.0,,,,,,,,,,,,,35.6720243902439,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1969.0,,,,,,,,,,,,,36.1699756097561,,208.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1970.0,,,,,,,0.0,,,,,,36.6594390243902,,205.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1971.0,,,,,,,,,,,,,37.13941463414629,,201.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1972.0,,,,,,,,,,,,,37.6088780487805,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1973.0,,,,,,,,,,,,,38.0693414634146,,194.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1974.0,,,,,,,,,,,,,38.5232926829268,,190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1975.0,,,,,,,0.0,,,,,,38.9702682926829,,186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1976.0,,,,,,,0.0,,,,,,39.4107317073171,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1977.0,,,,,,,0.0,,,,,,39.8477073170732,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1978.0,,,,,,,0.0,,,,,,40.2906829268293,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1979.0,,,,,,,0.0,,18.15768,,,,40.7481707317073,,171.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1980.0,,,,,,,0.0,,,,,,41.233658536585395,,166.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1981.0,,,,,,,0.0,,,,,,41.7606341463415,,162.6,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1982.0,,,,,,,0.0,,,,,,42.335609756097604,,158.3,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1983.0,,,,,,,0.0,,,,,,42.963048780487796,,153.7,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1984.0,,,,,,,0.0,,,,,,43.6444878048781,,148.8,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1985.0,,,,,,,0.0,,,,,,44.3799024390244,,143.9,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1986.0,,,,,,,0.0,,,,,,45.1688048780488,,138.9,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1987.0,,,,,,,0.0,,,,,,45.9972195121951,,134.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1988.0,,,,,,,0.0,,,,,,46.85014634146339,,129.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1989.0,,,,,,,0.0,,,,,,47.7115853658537,,124.1,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1990.0,,,,49.2000007629395,,,0.0,,,,,,48.567048780487795,14.0,119.5,,,,,,,,7.0,,7.0,1.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1991.0,,,,49.0999984741211,,,0.0,,,,,,49.4045609756098,,115.3,,,,,,,,7.0,,7.0,1.0,,,,,,,,,,,,,,,,,,7.0,1.0,,,,
Afghanistan,1992.0,,,,48.9000015258789,,,0.0,,,,,,50.2131219512195,,111.3,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1993.0,,,,48.7999992370605,,,0.0,,,,,,50.985243902439,,107.9,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1994.0,,,,48.5999984741211,,,0.0,,,,,,51.7093902439024,,104.9,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1995.0,,,,48.5,,,0.0,,,,,,52.37507317073171,,102.2,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
Afghanistan,1996.0,,,,48.4000015258789,,,0.0,,,,,,52.9727804878049,,100.2,,,,,,,,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,-1.8468396762263999,-2.2542506191311
Afghanistan,1997.0,,,,48.2999992370605,,,0.0,,,,,,53.5084878048781,,98.4,,,,,,,,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,1998.0,,,,48.2000007629395,,,0.0,,,,,,53.9921951219512,,96.7,,,,,,,,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,-1.83626458269795,-2.2409776891570203
Afghanistan,1999.0,,,,48.0999984741211,,,0.0,,,,,,54.4328780487805,,95.2,,,,,,,,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,,
Afghanistan,2000.0,,,,47.5999984741211,,,0.0,,,,,,54.8485609756098,15.0,93.5,,,,,36.705783230422796,1.4210854715202e-14,8.25577600527707,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,-1.91377330217114,-2.3246015101392206
Afghanistan,2001.0,,,,47.5999984741211,,,0.0,0.0,,,,,55.2562195121951,,91.6,,,,,36.8238200178988,1.31300923721206,8.44841133260445,7.0,,7.0,0.0,,,,,,,,,,,,,,,,,,10.0,0.0,,,,
Afghanistan,2002.0,,,,47.7000007629395,,,0.10146169368544199,0.0,,,,,55.6718780487805,,89.6,,,,,36.9418568053749,2.62601847442389,8.6410466599316,6.0,,6.0,0.0,,,,,,,,,,,,6.634403861726054,,,,,,3.0,3.0,,,-1.4263995675616001,-1.63653093939863
Afghanistan,2003.0,,,,47.7000007629395,,,0.7788574776100871,0.0,,,,,56.1075609756098,,87.5,,,,,37.5911535437084,3.93902771163592,8.83368198725898,6.0,,6.0,,,,,,,,,,,,,6.675156607573061,,,,,,3.0,,,,-1.54685231719973,-1.17779182730876
Afghanistan,2004.0,,,,47.7999992370605,,,2.24773939229968,0.0007492464640998929,,52.8,90.0,,56.5697317073171,,85.3,,,,,37.3189691378766,5.25203694884775,9.02631731458612,5.0,,6.0,,,,,,,,,,,,,6.647356061847824,,,,,,3.0,,,,-1.4242998910781899,-0.883302448686012
Afghanistan,2005.0,,,8.5,47.7999992370605,,,4.34550879715665,0.0007966766128120519,,75.2,9.0,,57.058439024390296,,83.2,,,,,38.057481197312,6.565046186059769,9.21895264191352,5.0,,5.0,0.0,,,,,,,,,,,,6.718831308925999,,,0.028542223146019282,,,3.0,4.0,,,-1.4642574591381499,-1.2269781572763798
Afghanistan,2006.0,,,,47.9000015258789,,49.9,8.86797897918629,0.00175926412655668,,67.4,9.0,54.0,57.5706585365854,,81.2,,,65.3,16.2,36.928309387413,7.50869364275916,9.44120511653817,5.0,,5.0,0.0,,68.0,47.2,,72.0,,67.0,,0.0,,4.3,6.74236601670211,65.0,47.0,0.022655971203606518,49.0,45.0,3.0,4.0,68.9,56.3,-1.4445163825531202,-1.48808071126238
Afghanistan,2007.0,,,,47.9000015258789,,,16.01633660185,0.00171551062808584,,84.6,9.0,,58.0913658536585,,79.3,,,,,36.1222653631575,8.45234109945879,9.663457591162631,5.0,,5.0,0.0,,,,,,,,,,,,6.843486787373682,,,0.06756132151037543,,,3.0,4.0,,,-1.5905141680911001,-1.4031432553568501
Afghanistan,2008.0,,445.1235942432107,,48.0,,45.1,26.470879987442398,0.0016756035540757802,,59.5,9.0,37.0,58.607097560975596,,77.6,,,49.7,27.0,35.2196728367091,9.39598855615817,9.88571006578726,5.0,11.0,6.0,0.0,,70.0,33.0,0.97,65.0,,68.0,,1.0,,,6.853374567754078,54.0,31.0,0.045868617367596176,40.0,33.0,3.0,3.0,55.5,39.9,-1.6371688137719098,-1.4784978583418997
Afghanistan,2009.0,,525.5491348308102,,48.0,,49.1,34.3386872470302,0.00327035116638382,,30.2,7.0,46.0,59.1123414634146,,75.9,,,53.8,23.4,35.491597653743206,9.39598855615817,9.88571006578726,6.0,9.0,6.0,0.0,,63.0,37.5,0.97,70.0,,70.0,,0.0,,,7.019466271329334,53.0,,0.0967669893135752,41.0,39.0,3.0,4.0,59.4,43.2,-1.5132792380447302,-1.49946594356579
Afghanistan,2010.0,,556.0312400671061,,48.0999984741211,48.0,46.5,41.3857963883125,0.00477528419865144,,26.7,7.0,38.0,59.6000975609756,,74.3,,,59.3,23.0,35.491597653743206,9.39598855615817,9.88571006578726,6.0,9.0,6.0,0.0,,59.0,35.5,0.97,68.0,,71.0,,0.0,92.1,4.7,7.075847064121229,46.0,,0.0805319061425076,40.0,39.0,3.0,3.0,58.0,33.0,-1.62446565845433,-1.4655714258688102
Afghanistan,2011.0,,575.6794194536793,,48.0,41.0,41.8,54.26208022310221,,,25.8,7.0,,60.065365853658506,16.0,72.7,,,55.4,30.2,,,,6.0,,6.0,0.0,,47.0,35.1,0.97,,,67.0,,0.0,,,7.110573526586523,29.0,,0.08951537390672115,38.0,,3.0,4.0,50.2,31.0,-1.54901259715108,-1.4576805129002401
Afghanistan,2012.0,,642.6177289979562,,47.9000015258789,40.0,53.9,53.8969630199163,,,22.5,7.0,,,,71.0,,,63.8,25.1,,,,6.0,,6.0,,,53.0,40.2,0.98,,,65.0,,0.0,,,7.220572620056266,29.0,,0.06933338491742448,30.0,19.0,3.0,,58.7,40.2,-1.4064267648711002,-1.3975745979718601
Afghanistan,2013.0,,,,,,,,,,14.4,5.0,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,
Albania,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1960.0,,,,,,,0.0,,,,,,62.254365853658506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1961.0,,,,,,,,,,,,,63.2734634146342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1962.0,,,,,,,,,,,,,64.1628536585366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1963.0,,,,,,,,,,,,,64.8870975609756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1964.0,,,,,,,,,,,,,65.4381951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1965.0,,,,,,,0.0,,,,,,65.8273902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1966.0,,,,,,,,,,,,,66.0893170731707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1967.0,,,,,,,,,,,,,66.2872195121951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1968.0,,,,,,,,,,,,,66.4749512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1969.0,,,,,,,,,,,,,66.6816097560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1970.0,,,,,,,0.0,,,,,,66.9325853658537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1971.0,,,,,,,,,,,,,67.23887804878049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1972.0,,,,,,,,,,,,,67.58595121951221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1973.0,,,,,,,,,,,,,67.95795121951221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1974.0,,,,,,,,,,,,,68.3483414634146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1975.0,,,,,,,0.0,,,,,,68.7412195121951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1976.0,,,,,,,0.0,,,,,,69.11551219512201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1977.0,,,,,,,0.0,,,,,,69.4561707317073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1978.0,,,,,,,0.0,,,,,,69.754243902439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1979.0,,,,,,,0.0,,,,,,70.00965853658539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Albania,1980.0,,,,,,,0.0,,,,,,70.2359756097561,,,,,,,,,,,,,,,,,,,,,,,,,8.329271650749495,,,,,,0.0,,,,,
Albania,1981.0,,,,,,,0.0,,,,,,70.45446341463409,,,,,,,,,,,,,0.0,,,,,,,,,,,,8.361802078021514,,,,,,0.0,1.0,,,,
Albania,1982.0,,,,,,,0.0,,,,,,70.6851219512195,,,,,,,,,,,,,0.0,,,,,,,,,,,,8.368062125882812,,,,,,0.0,2.0,,,,
Albania,1983.0,,,,,,,0.0,,,,,,70.93739024390241,,,,,,,,,,,,,0.0,,,,,,,,,,,,8.35611372991423,,,0.008987506992598648,,,0.0,2.0,,,,
Albania,1984.0,,,,,,,0.0,,,,,,71.20653658536591,,43.9,,,,,,,,,,,0.0,,,,,,,,,,,,8.319587132215894,,,-0.013973105716479028,,,0.0,1.0,,,,
Albania,1985.0,,,,,,,0.0,,,,,,71.47121951219509,,42.5,,,,,,,,,,,0.0,,,,,,,,,,,,8.312033458999682,,,-0.01850290231943208,,,0.0,,,,,
Albania,1986.0,,,,,,,0.0,,,,,,71.6975609756098,,41.3,,,,,,,,,,,0.0,,,,,,,,,,,,8.339855663140362,,,-0.005404697375092527,,,0.0,,,,,
Albania,1987.0,,,,,,,0.0,,,,,,71.8619512195122,,40.1,,2.5,,,,,,,,,0.0,,,,,,,,,,,,8.304101812823584,,,-0.005148474071923982,,,0.0,,,,,
Albania,1988.0,,,,,,,0.0,,,,,,71.9532926829268,,39.0,,2.2,,,,,,,,,0.0,,,,,,,,,,,,8.264017172582951,,,-0.015878022566096384,,,0.0,,,,,
Albania,1989.0,,,,,,,0.0,,,,,,71.9785853658537,,37.8,,2.4,,,,,,,,,0.0,,,,,,,,,,,,8.337671838523454,,,-0.0007276766538047985,,,0.0,,,,,
Albania,1990.0,,,,64.1999969482422,,,0.0,,,,,,71.9573170731707,16.0,36.7,,,,,,,,7.0,,6.0,0.0,4.3745886406999395,,,,,,,,,,,8.224616358696691,,,-0.026147234329660814,,,0.0,3.0,,,,
Albania,1991.0,,,,65.0,,,0.0,,,,,,71.9184146341463,,35.6,5.0,,,,,,,4.0,,4.0,2.0,,,,,,,,,,,,7.8700656713788035,,,-0.12306040608132653,,,0.0,4.0,,,,
Albania,1992.0,,,,65.0,,,0.0,,,,,,71.9008048780488,,34.5,,1.6,,,,,,4.0,,3.0,1.0,,,,,,,,,,,,7.799079123352696,,,-0.16433787564144509,,,0.0,6.0,,,,
Albania,1993.0,,,,64.8000030517578,,,0.0,,,,,,71.9358536585366,,33.4,,2.5,,,,,,2.0,,4.0,1.0,,,,,,,,,,,,7.899364490321422,,,-0.10274689596184727,,,0.0,6.0,,,,
Albania,1994.0,,,,64.59999847412111,,,0.0,,,,,,72.0419512195122,,32.4,,1.8,,,,,,3.0,,4.0,2.0,,,,,,,,,,,,7.988777483941143,,,0.04036395034329976,,,0.0,7.0,,,,
Albania,1995.0,,,,64.09999847412111,,,0.0,,,,,,72.2360243902439,,31.2,,2.9,,,,,,3.0,,4.0,1.0,5.068816847538384,,,,,,,,,,,8.121510082701603,,,0.11346523566339495,,,0.0,4.0,,,,
Albania,1996.0,,,,63.7000007629395,,,0.0738932794704872,,,,,,72.5274146341463,,30.1,,3.0,,,,,,4.0,,4.0,1.0,,,,,,,,,,,,8.213625026548241,,,0.1104368673413163,,,0.0,4.0,,,-1.09098037972401,-0.801710373201766
Albania,1997.0,6.5,1449.3088877094885,,63.7999992370605,,,0.106730420304395,,,,,,72.89809756097559,,28.9,,5.5,,,,,,4.0,,4.0,1.0,,,,,,,,,,,,8.108955128258064,,,0.0408724073901765,,,2.0,4.0,,,,
Albania,1998.0,,1650.1354827127236,,63.2000007629395,,,0.181875047295632,,,,,,73.3265853658537,,27.7,,5.0,,,,,,4.0,,5.0,2.0,,,,,,7.4,,,,,,8.230275277054085,,,0.0369202946149263,,,0.0,5.0,,,-1.00859111869961,-0.691084685130298
Albania,1999.0,,1836.2368217482974,,62.7000007629395,,,0.35824878568697205,,,,,,73.79339024390251,,26.5,,4.5,,,,,,4.0,,5.0,2.0,,,,,,,,,,,,8.328756532542474,,,0.0391230836429004,,,0.0,5.0,,,,
Albania,2000.0,,1994.5339057393844,,62.2000007629395,,,0.9698045741727479,,,,,,74.2720731707317,17.0,25.3,5.0,1.9,,,100.0,68.3640818120436,48.0426293517559,4.0,,5.0,1.0,6.23,,,,,,,,,,,8.403138666561818,,,0.10303026581226328,,,0.0,3.0,,,-0.8244823015682021,-0.825721945321638
Albania,2001.0,,2164.1651961387743,22.7000007629395,61.7999992370605,,,12.759238546580901,0.0,98.71297,,,,74.7342195121951,,24.0,,4.0,,,100.0,68.3640818120436,51.4594734297689,3.0,,4.0,1.0,6.279999999899198,,,,,,,,,,,8.476521472195872,,,0.08554489146707822,,,0.0,6.0,,,,
Albania,2002.0,8.76,2260.6744818437687,,61.5,,,27.5424318510909,0.0,,,,,75.1579512195122,,22.9,,4.5,,,100.0,68.3640818120436,54.876317507782,3.0,,3.0,2.0,6.639999999787686,,,,,,,,,,,8.511975856399296,,,0.06297662339083088,,,0.0,6.0,,,-0.8567750806026779,-0.5691594760034471
Albania,2003.0,,2286.8901472070274,,60.5,,,35.407334017660496,0.0,,56.9,41.0,,75.5293658536585,,21.8,,4.1,,,100.0,68.3640818120436,58.2931615857949,3.0,,3.0,1.0,7.129675515891059,,,,,8.7883548352,,1.1680521349,,91.7,,8.574856721246443,,,0.058909231644029614,,,0.0,5.0,,,-0.7687500603014591,-0.6072633119767149
Albania,2004.0,5.57,2310.745679119351,,59.5,,,40.3086729297719,0.0,,32.2,41.0,,75.839,,20.7,,4.7,,,100.0,68.3640818120436,61.7100056638081,3.0,,3.0,2.0,6.917425365121401,,,,,6.698828976000001,,0.9490727195,,91.2,,8.639365679178484,,,0.05578165977319882,,,0.0,6.0,,,-0.6716580612215359,-0.44379952595628297
Albania,2005.0,7.85,2342.1815002860503,,58.5999984741211,,,48.705964733592204,0.00865745750843466,,31.1,41.0,,76.0893902439024,,19.8,5.0,,,,100.0,68.3640818120436,65.126849741821,3.0,,3.0,1.0,7.124948125973259,,,,,6.9365221497,,1.2504517332,,92.1,,8.69916534884446,,,0.06438428676231367,,,0.0,7.0,,,-0.746664337213582,-0.6272557638531611
Albania,2006.0,,2506.915111917572,,57.5999984741211,,46.3,60.504364338037604,,,22.4,39.0,48.0,76.2905365853659,,18.9,,,48.0,19.4,100.0,68.3640818120436,68.8163570320562,3.0,39.0,3.0,2.0,7.308686043157259,47.0,24.4,,22.0,6.7701592504,63.0,1.293287031,1.0,,,8.753149304888888,47.0,20.0,0.061232386124358,51.0,53.0,0.0,6.0,68.3,32.6,-0.805980415976581,-0.456362150013507
Albania,2007.0,,2703.0457125959315,13.5,56.7000007629395,,,73.270708418713,0.315490753754734,,46.0,36.0,,76.4648536585366,,18.1,,,,,100.0,68.3640818120436,72.5058643222912,3.0,,3.0,2.0,7.451593312053468,,,,,7.076436330599999,,1.0454437474,,,,8.81468220352896,,,0.06018014463160859,,,0.0,7.0,,,-0.659164046048052,-0.37783204676495397
